run,window,elapsed_s,n_ok,loss,min_ms,p50_ms,p95_ms,p99_ms,max_ms,mean_ms
before-v1.1.2f,0,0.0,50,0,3.822,5.195,55.659,61.683,61.683,11.127
before-v1.1.2f,1,10.0,50,0,3.872,5.176,53.05,73.194,73.194,9.862
before-v1.1.2f,2,20.0,50,0,3.994,6.444,76.836,116.469,116.469,19.228
before-v1.1.2f,3,30.0,50,0,3.833,5.259,52.467,68.172,68.172,11.655
before-v1.1.2f,4,40.0,50,0,3.785,4.788,53.709,74.24,74.24,11.433
before-v1.1.2f,5,50.0,50,0,3.839,5.381,55.15,67.217,67.217,11.944
before-v1.1.2f,6,60.0,50,0,3.88,5.89,54.171,84.446,84.446,13.031
before-v1.1.2f,7,70.0,50,0,3.647,4.689,47.998,57.511,57.511,8.84
before-v1.1.2f,8,80.0,50,0,3.789,6.382,50.834,77.128,77.128,13.834
before-v1.1.2f,9,90.0,50,0,3.767,5.48,54.789,75.978,75.978,12.716
before-v1.1.2f,10,100.0,50,0,3.571,4.718,56.209,73.358,73.358,10.81
before-v1.1.2f,11,110.0,50,0,3.672,6.35,46.855,74.103,74.103,12.126
before-v1.1.2f,12,120.0,50,0,3.833,5.168,50.273,74.456,74.456,10.127
before-v1.1.2f,13,130.0,50,0,3.79,6.743,63.52,71.188,71.188,13.615
before-v1.1.2f,14,140.0,50,0,3.794,7.331,58.999,83.125,83.125,16.157
before-v1.1.2f,15,150.0,50,0,3.747,4.327,49.316,77.256,77.256,9.793
before-v1.1.2f,16,160.0,50,0,3.761,4.616,61.949,74.302,74.302,11.329
before-v1.1.2f,17,170.0,50,0,3.793,5.964,60.432,116.611,116.611,15.664
before-v1.1.2f,18,180.0,50,0,3.788,4.645,44.686,68.995,68.995,10.835
before-v1.1.2f,19,190.0,50,0,3.719,5.043,49.451,70.223,70.223,11.506
before-v1.1.2f,20,200.0,50,0,3.881,5.665,47.067,60.268,60.268,11.921
before-v1.1.2f,21,210.0,50,0,3.505,4.331,47.852,71.012,71.012,10.859
before-v1.1.2f,22,220.0,50,0,3.56,5.549,47.941,70.135,70.135,10.706
before-v1.1.2f,23,230.0,50,0,3.746,5.458,54.765,64.737,64.737,11.208
before-v1.1.2f,24,240.0,50,0,3.706,4.82,52.731,69.18,69.18,9.899
before-v1.1.2f,25,250.0,50,0,3.547,4.38,55.405,77.562,77.562,10.46
before-v1.1.2f,26,260.0,50,0,3.856,5.193,60.889,68.616,68.616,11.827
before-v1.1.2f,27,270.0,50,0,3.821,5.057,64.248,71.915,71.915,12.02
before-v1.1.2f,28,280.0,50,0,3.899,6.133,72.109,121.561,121.561,16.065
before-v1.1.2f,29,290.0,50,0,3.793,5.872,56.683,62.361,62.361,12.473
before-v1.1.2f,30,300.0,50,0,3.883,5.726,52.408,71.684,71.684,11.005
before-v1.1.2f,31,310.0,50,0,3.595,4.33,65.877,128.72,128.72,12.69
before-v1.1.2f,32,320.0,50,0,3.815,5.568,62.851,77.851,77.851,13.965
before-v1.1.2f,33,330.0,50,0,3.795,6.052,50.218,89.469,89.469,12.506
before-v1.1.2f,34,340.0,50,0,3.767,5.255,56.205,71.151,71.151,10.924
before-v1.1.2f,35,350.0,50,0,3.874,5.15,69.477,80.722,80.722,13.009
before-v1.1.2f,36,360.0,50,0,3.724,6.281,61.834,71.644,71.644,13.273
before-v1.1.2f,37,370.0,50,0,3.725,4.354,43.508,64.699,64.699,9.739
before-v1.1.2f,38,380.0,50,0,3.839,7.127,78.512,118.958,118.958,15.959
before-v1.1.2f,39,390.0,50,0,3.513,5.66,68.679,98.413,98.413,16.2
before-v1.1.2f,40,400.0,50,0,3.655,6.122,51.114,64.202,64.202,12.033
before-v1.1.2f,41,410.0,50,0,3.56,5.35,65.305,81.25,81.25,13.402
before-v1.1.2f,42,420.0,50,0,3.744,5.757,43.236,65.891,65.891,11.097
before-v1.1.2f,43,430.0,50,0,3.896,5.47,74.087,78.117,78.117,14.381
before-v1.1.2f,44,440.0,50,0,3.37,8.436,49.196,73.844,73.844,14.925
before-v1.1.2f,45,450.0,50,0,3.814,6.596,75.314,93.765,93.765,20.235
before-v1.1.2f,46,460.0,50,0,4.0,25.099,136.076,157.735,157.735,44.759
before-v1.1.2f,47,470.0,50,0,4.039,20.601,104.62,155.526,155.526,33.321
before-v1.1.2f,48,480.0,50,0,3.732,9.932,96.711,137.79,137.79,26.277
before-v1.1.2f,49,490.0,50,0,3.657,44.555,347.258,478.097,478.097,78.791
before-v1.1.2f,50,500.0,50,0,3.79,22.735,165.727,307.914,307.914,43.063
before-v1.1.2f,51,510.0,50,0,3.323,24.428,112.755,160.93,160.93,36.863
before-v1.1.2f,52,520.0,50,0,3.939,22.286,157.771,162.565,162.565,38.779
before-v1.1.2f,53,530.0,50,0,3.499,30.059,345.673,509.087,509.087,74.51
before-v1.1.2f,54,540.0,50,0,3.722,8.293,109.713,151.634,151.634,31.668
before-v1.1.2f,55,550.0,50,0,4.08,17.658,105.284,136.554,136.554,32.181
before-v1.1.2f,56,560.0,50,0,3.902,33.778,98.504,120.18,120.18,37.684
before-v1.1.2f,57,570.0,50,0,4.034,11.706,57.334,77.65,77.65,19.741
before-v1.1.2f,58,580.0,50,0,4.0,25.071,124.747,173.531,173.531,43.887
before-v1.1.2f,59,590.0,50,0,3.923,13.106,105.372,167.521,167.521,30.836
before-v1.1.2f,60,600.0,50,0,3.839,22.453,107.472,174.324,174.324,34.718
before-v1.1.2f,61,610.0,50,0,4.29,40.233,100.663,164.746,164.746,43.188
before-v1.1.2f,62,620.0,50,0,4.021,35.919,141.008,171.197,171.197,49.747
before-v1.1.2f,63,630.0,50,0,3.819,25.007,116.817,148.703,148.703,47.153
before-v1.1.2f,64,640.0,50,0,4.067,47.068,168.412,203.382,203.382,53.787
before-v1.1.2f,65,650.0,50,0,3.882,39.011,142.785,192.382,192.382,46.479
before-v1.1.2f,66,660.0,50,0,4.639,41.254,209.613,282.201,282.201,64.222
before-v1.1.2f,67,670.0,50,0,4.136,17.038,114.216,149.18,149.18,36.197
before-v1.1.2f,68,680.0,50,0,4.134,27.702,178.954,197.412,197.412,52.776
before-v1.1.2f,69,690.0,50,0,4.076,18.932,126.527,237.363,237.363,40.822
before-v1.1.2f,70,700.0,50,0,3.946,41.46,126.226,157.969,157.969,45.476
before-v1.1.2f,71,710.0,50,0,3.981,25.954,135.0,208.405,208.405,42.677
before-v1.1.2f,72,720.0,50,0,3.708,27.913,203.316,384.003,384.003,63.933
before-v1.1.2f,73,730.0,50,0,4.382,22.155,201.895,218.927,218.927,50.09
before-v1.1.2f,74,740.0,50,0,3.964,10.48,87.041,118.179,118.179,29.557
before-v1.1.2f,75,750.0,50,0,4.023,6.339,55.536,72.827,72.827,13.887
before-v1.1.2f,76,760.0,50,0,3.962,17.686,166.756,313.816,313.816,39.699
before-v1.1.2f,77,770.0,50,0,4.116,7.614,67.19,117.163,117.163,17.597
before-v1.1.2f,78,780.0,50,0,3.966,8.418,63.803,140.684,140.684,18.383
before-v1.1.2f,79,790.0,50,0,4.04,8.51,96.056,127.62,127.62,22.278
before-v1.1.2f,80,800.0,50,0,3.832,8.173,92.855,144.98,144.98,21.678
before-v1.1.2f,81,810.0,50,0,4.017,9.73,67.419,103.366,103.366,20.013
before-v1.1.2f,82,820.0,50,0,3.785,6.504,56.705,72.481,72.481,15.41
before-v1.1.2f,83,830.0,50,0,3.989,9.108,199.912,524.854,524.854,39.191
before-v1.1.2f,84,840.0,50,0,3.779,6.742,72.723,100.912,100.912,17.437
before-v1.1.2f,85,850.0,50,0,3.953,13.334,82.841,177.344,177.344,25.587
before-v1.1.2f,86,860.0,50,0,3.801,5.987,57.037,74.419,74.419,15.654
before-v1.1.2f,87,870.0,50,0,3.968,6.72,60.126,69.17,69.17,14.859
before-v1.1.2f,88,880.0,50,0,3.987,7.472,82.788,95.246,95.246,18.191
before-v1.1.2f,89,890.0,50,0,3.828,5.201,51.537,87.344,87.344,14.508
before-v1.1.2f,90,900.0,50,0,3.91,5.707,75.604,126.007,126.007,20.213
before-v1.1.2f,91,910.0,50,0,4.023,14.634,109.119,264.832,264.832,33.348
before-v1.1.2f,92,920.0,50,0,4.093,9.59,90.499,102.362,102.362,23.098
before-v1.1.2f,93,930.0,50,0,3.65,8.066,54.431,72.995,72.995,15.512
before-v1.1.2f,94,940.0,50,0,3.819,5.285,75.275,89.209,89.209,16.634
before-v1.1.2f,95,950.0,50,0,4.048,8.967,57.492,74.178,74.178,19.139
before-v1.1.2f,96,960.0,50,0,3.982,5.862,83.412,97.362,97.362,17.014
before-v1.1.2f,97,970.0,50,0,3.763,7.483,66.115,88.394,88.394,15.923
before-v1.1.2f,98,980.0,50,0,3.423,6.603,50.856,101.045,101.045,15.068
before-v1.1.2f,99,990.0,50,0,3.868,8.503,180.076,425.043,425.043,37.97
before-v1.1.2f,100,1000.0,50,0,4.027,13.088,54.713,91.278,91.278,17.593
before-v1.1.2f,101,1010.0,50,0,3.719,12.819,76.328,119.755,119.755,25.223
before-v1.1.2f,102,1020.0,50,0,3.901,4.694,54.581,71.963,71.963,11.944
before-v1.1.2f,103,1030.0,50,0,3.899,11.823,74.544,99.868,99.868,19.613
before-v1.1.2f,104,1040.0,50,0,3.511,9.019,88.586,133.701,133.701,23.093
before-v1.1.2f,105,1050.0,50,0,3.938,7.017,67.27,85.051,85.051,16.941
before-v1.1.2f,106,1060.0,50,0,3.929,5.875,61.417,80.543,80.543,15.468
before-v1.1.2f,107,1070.0,50,0,3.846,6.984,58.592,77.723,77.723,17.076
before-v1.1.2f,108,1080.0,50,0,3.904,9.382,54.058,64.647,64.647,17.214
before-v1.1.2f,109,1090.0,50,0,3.841,5.822,38.086,99.942,99.942,13.985
before-v1.1.2f,110,1100.0,50,0,3.92,9.469,177.656,339.838,339.838,35.136
before-v1.1.2f,111,1110.0,50,0,3.756,6.489,46.208,64.549,64.549,14.007
before-v1.1.2f,112,1120.0,50,0,3.749,5.904,54.493,67.743,67.743,15.324
before-v1.1.2f,113,1130.0,50,0,3.768,6.727,70.534,151.779,151.779,18.599
before-v1.1.2f,114,1140.0,50,0,3.7,5.815,76.582,245.961,245.961,27.6
before-v1.1.2f,115,1150.0,50,0,3.897,5.659,68.693,114.501,114.501,15.793
before-v1.1.2f,116,1160.0,50,0,3.896,11.254,59.194,86.339,86.339,18.049
before-v1.1.2f,117,1170.0,50,0,3.727,4.662,66.583,95.104,95.104,13.973
before-v1.1.2f,118,1180.0,50,0,3.826,5.889,71.38,79.442,79.442,15.873
before-v1.1.2f,119,1190.0,50,0,3.853,5.503,51.614,82.832,82.832,14.368
before-v1.1.2f,120,1200.0,50,0,3.943,5.05,64.59,120.283,120.283,19.097
before-v1.1.2f,121,1210.0,50,0,3.952,6.988,49.721,70.438,70.438,13.599
before-v1.1.2f,122,1220.0,50,0,3.913,6.36,61.89,82.326,82.326,15.16
before-v1.1.2f,123,1230.0,50,0,3.688,6.739,91.653,139.848,139.848,16.504
before-v1.1.2f,124,1240.0,50,0,3.95,14.035,88.444,120.156,120.156,24.209
before-v1.1.2f,125,1250.0,50,0,3.919,5.642,65.768,85.131,85.131,18.841
before-v1.1.2f,126,1260.0,50,0,3.933,9.798,96.684,111.261,111.261,20.839
before-v1.1.2f,127,1270.0,50,0,3.844,5.766,78.86,83.59,83.59,20.506
before-v1.1.2f,128,1280.0,50,0,4.054,29.881,272.611,562.151,562.151,66.949
before-v1.1.2f,129,1290.0,50,0,3.771,7.884,239.135,336.398,336.398,44.998
before-v1.1.2f,130,1300.0,50,0,3.997,6.829,70.281,79.844,79.844,18.051
before-v1.1.2f,131,1310.0,50,0,3.967,9.403,82.396,101.758,101.758,24.787
before-v1.1.2f,132,1320.0,50,0,4.039,6.315,78.148,114.98,114.98,18.901
